"Financial year","Area name","Measure Name","Value"
"2022/23","NHS Scotland","Total Net NHS Expenditure (£ millions)",15314.9
"2022/23","NHS Scotland","Total Mental Health Expenditure (£ millions)",1306.8
"2022/23","NHS Scotland","Total CAMHS Expenditure (£ millions)",114.799
"2022/23","NHS Scotland","Mental Health Expenditure (%)",8.53
"2022/23","NHS Scotland","CAMHS Expenditure (%)",0.75
"2022/23","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",993.5
"2022/23","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",84
"2022/23","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",4.502
"2022/23","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.45
"2022/23","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.45
"2022/23","NHS Borders","Total Net NHS Expenditure (£ millions)",284.6
"2022/23","NHS Borders","Total Mental Health Expenditure (£ millions)",19.6
"2022/23","NHS Borders","Total CAMHS Expenditure (£ millions)",1.845
"2022/23","NHS Borders","Mental Health Expenditure (%)",6.87
"2022/23","NHS Borders","CAMHS Expenditure (%)",0.65
"2022/23","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",435.5
"2022/23","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",31
"2022/23","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",2.692
"2022/23","NHS Dumfries and Galloway","Mental Health Expenditure (%)",7.12
"2022/23","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.62
"2022/23","NHS Fife","Total Net NHS Expenditure (£ millions)",888.4
"2022/23","NHS Fife","Total Mental Health Expenditure (£ millions)",68.2
"2022/23","NHS Fife","Total CAMHS Expenditure (£ millions)",5.533
"2022/23","NHS Fife","Mental Health Expenditure (%)",7.68
"2022/23","NHS Fife","CAMHS Expenditure (%)",0.62
"2022/23","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",739.6
"2022/23","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",60.4
"2022/23","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",3.773
"2022/23","NHS Forth Valley","Mental Health Expenditure (%)",8.17
"2022/23","NHS Forth Valley","CAMHS Expenditure (%)",0.51
"2022/23","NHS Grampian","Total Net NHS Expenditure (£ millions)",1484.5
"2022/23","NHS Grampian","Total Mental Health Expenditure (£ millions)",104.3
"2022/23","NHS Grampian","Total CAMHS Expenditure (£ millions)",9.421
"2022/23","NHS Grampian","Mental Health Expenditure (%)",7.03
"2022/23","NHS Grampian","CAMHS Expenditure (%)",0.63
"2022/23","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3976.4
"2022/23","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",395.1
"2022/23","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",31.535
"2022/23","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.94
"2022/23","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.79
"2022/23","NHS Highland","Total Net NHS Expenditure (£ millions)",890.6
"2022/23","NHS Highland","Total Mental Health Expenditure (£ millions)",65.2
"2022/23","NHS Highland","Total CAMHS Expenditure (£ millions)",4.167
"2022/23","NHS Highland","Mental Health Expenditure (%)",7.32
"2022/23","NHS Highland","CAMHS Expenditure (%)",0.47
"2022/23","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1522.8
"2022/23","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",104.1
