year,year_ending,hbtreat_name,hospital_code,hospital_name,specialty,trend_type,value,covid_period
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,total,admissions,80,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,total,discharges,105,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,total,patients,95,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,total,stays,100,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,total,hospitalresidents,35,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,nonpsychiatric,admissions,0,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,nonpsychiatric,discharges,0,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,nonpsychiatric,patients,0,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,nonpsychiatric,stays,0,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,nonpsychiatric,hospitalresidents,NA,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,psychiatric,admissions,80,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,psychiatric,discharges,105,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,psychiatric,patients,95,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,psychiatric,stays,100,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A201H,Ailsa Hospital,psychiatric,hospitalresidents,35,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,total,admissions,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,total,discharges,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,total,patients,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,total,stays,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,total,hospitalresidents,0,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,nonpsychiatric,admissions,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,nonpsychiatric,discharges,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,nonpsychiatric,patients,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,nonpsychiatric,stays,20,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,nonpsychiatric,hospitalresidents,NA,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,psychiatric,admissions,0,Pre-COVID
2018,31/03/2019,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,psychiatric,discharges,0,Pre-COVID
