year,geography1,geography2,diagnosis_groupings,measure,dataset,value,covid_period
2018,Health board of treatment,NHS Ayrshire & Arran,Disorders of adult personality and behaviour,Number of discharges,Total,95,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Total,25.82,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Disorders of adult personality and behaviour,Number of discharges,Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Disorders of adult personality and behaviour,Number of discharges,Psychiatric,95,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Psychiatric,25.82,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Total,1275,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Total,346.56,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Non-psychiatric,950,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,258.22,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Psychiatric,325,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Psychiatric,88.34,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mood (affective) disorders,Number of discharges,Total,245,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Total,66.59,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mood (affective) disorders,Number of discharges,Non-psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,5.44,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mood (affective) disorders,Number of discharges,Psychiatric,225,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Psychiatric,61.16,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Total,230,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Total,62.52,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Non-psychiatric,125,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,33.98,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Psychiatric,105,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,28.54,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Organic, including symptomatic, mental disorders",Number of discharges,Total,520,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Total,141.34,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Organic, including symptomatic, mental disorders",Number of discharges,Non-psychiatric,400,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,108.73,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Organic, including symptomatic, mental disorders",Number of discharges,Psychiatric,120,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,32.62,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Other selected diagnoses principally affecting children & young people,Number of discharges,Total,30,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Total,8.15,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Other selected diagnoses principally affecting children & young people,Number of discharges,Non-psychiatric,15,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,4.08,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Other selected diagnoses principally affecting children & young people,Number of discharges,Psychiatric,15,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Psychiatric,4.08,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Total,265,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Total,72.03,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Non-psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,5.44,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Psychiatric,245,Pre-COVID
2018,Health board of treatment,NHS Ayrshire & Arran,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,66.59,Pre-COVID
2018,Health board of treatment,NHS Borders,Disorders of adult personality and behaviour,Number of discharges,Total,50,Pre-COVID
2018,Health board of treatment,NHS Borders,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Total,43.04,Pre-COVID
2018,Health board of treatment,NHS Borders,Disorders of adult personality and behaviour,Number of discharges,Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Borders,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Borders,Disorders of adult personality and behaviour,Number of discharges,Psychiatric,50,Pre-COVID
2018,Health board of treatment,NHS Borders,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Psychiatric,43.04,Pre-COVID
2018,Health board of treatment,NHS Borders,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Total,205,Pre-COVID
2018,Health board of treatment,NHS Borders,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Total,176.48,Pre-COVID
2018,Health board of treatment,NHS Borders,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Non-psychiatric,160,Pre-COVID
2018,Health board of treatment,NHS Borders,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,137.74,Pre-COVID
